name	faculty
CHEMICAL ENGINEERING & MANAGEMENT CO-OP	03
CLINICAL INVESTIGATOR PROGRAMME-PLASTIC SURGERY	23
CRITICAL CARE/INTERNAL MEDICINE	23
ELECTRICAL BIOMEDICAL ENGINEERING CO-OP	03
ENGINEERING PHYSICS & INTERNATIONAL STUDIES	03
ENGINEERING PHYSICS & SOCIETY CO-OP	03
ENGINEERING PHYSICS CO-OP	03
EXCHANGE STUDENT	06
HONOURS ART & THEATRE & FILM STUDIES	14
HONOURS ART HISTORY & CULTURAL STUDIES & CRITICAL THEORY	14
HONOURS ARTS & SCIENCE & FRENCH(A) - LANGUAGE & LITERATURE	07
HONOURS ARTS & SCIENCE & MOLECULAR BIOLOGY & GENETICS	07
HONOURS CHEMISTRY (ADVANCED MATERIALS SPECIALIZATION)	02
HONOURS COMMUNICATION STUDIES & WOMEN'S STUDIES	14
HONOURS CULTURAL STUDIES & CRITICAL THEORY & SOCIOLOGY	14
HONOURS ECONOMICS & PSYCHOLOGY	15
HONOURS ENGLISH & MUSIC	14
HONOURS FRENCH & MULTIMEDIA	14
HONOURS INTEGRATED SCIENCE	02
HONOURS INTEGRATED SCIENCE (GEOGRAPHY&ENVIRO SCI CONCENTRATN	02
HONOURS LABOUR STUDIES & ECONOMICS	15
HONOURS MOLECULAR BIOLOGY & GENETICS	02
HONOURS MULTIMEDIA & THEATRE & FILM STUDIES	14
HONOURS PHILOSOPHY & SOCIOLOGY	14
MATERIALS ENGINEERING & SOCIETY CO-OP	03
NEUROSURGERY	23
PSYCHOLOGY & SOCIAL WORK	15
TECHNOLOGY 1	03
CHEMICAL ENGINEERING & SOCIETY CO-OP	03
CIVIL ENG & SOCIETY-STRUCTURAL/GEOTECHNICAL ENG STREAM CO-OP	03
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	03
ELECTRICAL ENGINEERING & SOCIETY CO-OP	03
ENGINEERING PHYSICS & MANAGEMENT CO-OP	03
EXCHANGE STUDENT	02
FAMILY MEDICINE RURAL - COLLINGWOOD	23
HEMATOLOGICAL PATHOLOGY	23
HISTORY & INDIGENOUS STUDIES	14
HONOURS ARTS & SCIENCE & ENGLISH	07
HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	02
HONOURS BIOLOGY	02
HONOURS CLASSICS & LINGUISTICS	14
HONOURS COMMUNICATION STUDIES & HISTORY	14
HONOURS ECONOMICS & COMPUTER SCIENCE	15
HONOURS ENGLISH & WOMEN'S STUDIES	14
HONOURS FRENCH & SOCIOLOGY	14
HONOURS GERONTOLOGY & PSYCHOLOGY	15
HONOURS HEALTH STUDIES & HISTORY	15
HONOURS HISTORY & LABOUR STUDIES	14
HONOURS HISTORY & MATHEMATICS	14
HONOURS INTEGRATED SCIENCE (BIOPHYSICS)	02
HONOURS MATHEMATICS & STATISTICS CO-OP (STATISTICS SPEC)	02
HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	02
HONOURS MUSIC	14
HONOURS PEACE STUDIES & POLITICAL SCIENCE	14
INDIGENOUS STUDIES & RELIGIOUS STUDIES	15
INDIGENOUS STUDIES & SOCIOLOGY & SOCIAL WORK	15
MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	02
NEPHROLOGY/INTERNAL MEDICINE	23
ORTHOPEDIC SURGERY NORTH	23
PEDIATRICS/NOMP	23
PHYSICIAN ASSISTANT	04
SOFTWARE ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
CARDIAC SURGERY	23
CIVIL ENG & INTL STUDIES-WATER/ENVIRONMENTAL ENG STR CO-OP	03
CIVIL ENGINEERING-WATER/ENVIRONMENTAL ENGINEERING STREAM	03
CLINICAL IMMUNOLOGY - PEDIATRIC/PEDIATRICS	23
CONTINUING	15
ECONOMICS & SOCIAL WORK	15
EMERGENCY MEDICINE-FAMILY MEDICINE/WATERLOO	23
ENGINEERING PHYSICS - NUCLEAR ENG & ENERGY SYSTEMS STREAM	03
HONOURS ART HISTORY & HISTORY	14
HONOURS ART HISTORY & PSYCHOLOGY	14
HONOURS ART HISTORY & THEATRE & FILM STUDIES	14
HONOURS CLASSICS & GEOGRAPHY	14
HONOURS COMMUNICATION STUDIES & GEOGRAPHY	15
HONOURS COMMUNICATION STUDIES & MULTIMEDIA	14
HONOURS ECONOMICS	15
HONOURS ENVIRONMENTAL SCIENCES	02
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	15
HONOURS HEALTH STUDIES & ANTHROPOLOGY	15
HONOURS HEALTH STUDIES & LABOUR STUDIES	15
HONOURS RELIGIOUS STUDIES & SOCIOLOGY	15
INDIGENOUS STUDIES & PSYCHOLOGY	15
INTERNAL MEDICINE-NOMP	23
MEDICAL RADIATION SCIENCES	02
NEUROLOGY	23
OCCASIONAL	04
PHILOSOPHY	14
POLITICAL SCIENCE & SOCIAL WORK	15
UROLOGY	23
VASCULAR SURGERY	23
CIVIL ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
CLINICAL INVESTIGATOR PROGRAMME-HEMATOLOGY ONCOLOGY/PEDIATRICS	23
CLINICAL INVESTIGATOR PROGRAMME-OTOLARNGOLOGY HEAD AND NECK SURGERY	23
COMPUTER ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
FAMILY MEDICINE/RURAL - GRAND ERIE SIX NATIONS	23
GENERAL SURGERY - NIAGARA	23
HEALTH, AGING & SOCIETY & SOCIAL WORK	15
HONOURS ARTS & SCIENCE & MATHEMATICS	07
HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	02
HONOURS COMMUNICATION STUDIES & FRENCH	14
HONOURS COMPARATIVE LITERATURE & PSYCHOLOGY	14
HONOURS CULTURAL STUDIES & CRITICAL THEORY & FRENCH	14
HONOURS EARTH & ENVIRON SCI (AQUEOUS ENVIRONMENTAL GEOCHEM)	02
HONOURS ECONOMICS & THEATRE & FILM STUDIES	14
HONOURS ENGLISH & ANTHROPOLOGY	14
HONOURS ENGLISH & LABOUR STUDIES	14
HONOURS ENGLISH & POLITICAL SCIENCE	14
HONOURS GERONTOLOGY & SOCIOLOGY	15
HONOURS HEALTH STUDIES	15
HONOURS LIFE SCIENCES	02
HONOURS MATHEMATICS & COMPUTER SCIENCE	02
HONOURS RELIGIOUS STUDIES & WOMEN'S STUDIES	14
MATERIALS ENGINEERING CO-OP	03
MUSIC	14
PSYCHIATRY	23
RESPIRATORY MEDICINE/INTERNAL MEDICINE	23
SOFTWARE ENGINEERING CO-OP	03
CHEMICAL ENGINEERING & BIOENGINEERING CO-OP	03
CONTINUING	14
CREDIT OUTSIDE MCMASTER	02
FAMILY MED - CARE OF THE ELDERLY	23
HONOURS ART HISTORY & CLASSICS	14
HONOURS ARTS & SCIENCE & HUMAN GEOGRAPHY	07
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	02
HONOURS CULTURAL STUDIES & CRITICAL THEORY & PHILOSOPHY	14
HONOURS CULTURAL STUDIES & CRITICAL THEORY & POLITICAL SCI	14
HONOURS ENGLISH & LINGUISTICS	14
HONOURS FRENCH & LINGUISTICS	14
HONOURS FRENCH-A & ITALIAN	14
HONOURS GERONTOLOGY & POLITICAL SCIENCE	15
HONOURS LIFE SCIENCES CO-OP	02
HONOURS MEDICAL & HEALTH PHYSICS	02
HONOURS MUSIC & PHILOSOPHY	14
HONOURS PHYSICS (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS SOCIAL PSYCHOLOGY	15
INDIGENOUS STUDIES & POLITICAL SCIENCE	15
LIFE SCIENCES 1	02
MECHATRONICS ENGINEERING & SOCIETY	03
NEONATOLOGY/PERINATOLOGY	23
PEDIATRIC CRITICAL CARE	23
PEDIATRIC NEUROLOGY	23
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS)	03
CIVIL ENGINEERING & SOCIETY-WATER/ENVIRONMENTAL ENG STREAM	03
CLASSICS	14
CLINICAL INVESTIGATOR PROGRAMME-TRANSFUSION MEDICINE	23
COMPUTER ENGINEERING & SOCIETY	03
COMPUTER ENGINEERING CO-OP	03
COMPUTER SCIENCE 1	03
CONTINUING	06
DIAGNOSTIC RADIOLOGY	23
ELECTRICAL ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
ELECTRICAL ENGINEERING & SOCIETY	03
FAMILY MEDICINE - PALLIATIVE CARE	23
FAMILY MEDICINE - ROMP	23
HONOURS ART HISTORY & MULTIMEDIA	14
HONOURS ART HISTORY & POLITICAL SCIENCE	14
HONOURS ARTS & SCIENCE & ANTHROPOLOGY	07
HONOURS ARTS & SCIENCE & THEATRE & FILM STUDIES	07
HONOURS BACHELOR OF COMMERCE	06
HONOURS CLASSICS & PEACE STUDIES	14
HONOURS COMPUTER SCIENCE B.A.SC. AS A SECOND DEGREE	03
HONOURS CULTURAL STUDIES & CRITICAL THEORY & HISTORY	14
HONOURS ENGLISH & GEOGRAPHY	14
HONOURS FRENCH & GEOGRAPHY	14
HONOURS FRENCH & POLITICAL SCIENCE	14
HONOURS HISTORY & PEACE STUDIES	14
HONOURS INTEGRATED SCIENCE (BIOLOGY)	02
HONOURS KINESIOLOGY 1	02
HONOURS LABOUR STUDIES & POLITICAL SCIENCE	15
HONOURS LINGUISTICS & ANTHROPOLOGY	14
HONOURS MATHEMATICS & STATISTICS(APPLIED MATHEMATICS SPEC)	02
HONOURS MOLECULAR BIOLOGY & GENETICS CO-OP	02
HONOURS PHYSICS	02
HONOURS SOCIOLOGY & THEATRE & FILM STUDIES	14
MATERIALS ENGINEERING & MANAGEMENT CO-OP	03
MECHATRONICS ENGINEERING CO-OP	03
NURSING	04
NURSING (BASIC ACCELERATED)	04
RADIATION ONCOLOGY	23
SOCIAL SCIENCES	15
ANTHROPOLOGY	15
ANTHROPOLOGY & INDIGENOUS STUDIES	15
CHEMICAL ENGINEERING & SOCIETY	03
CIVIL ENGINEERING & MANAGEMENT	03
CIVIL ENG-STRUCTURAL/GEOTECHNICAL ENGINEERING STREAM	03
CLINICAL EPIDEMIOLOGY & BIOSTATISTICS	23
CLINICAL IMMUNOLOGY - ADULT/INTERNAL MEDICINE	23
CLINICAL INVESTIGATOR PROGRAM/NEONATAL-PERINATAL	23
ENDOCRINOLOGY/INTERNAL MEDICINE	23
ENGINEERING PHYSICS & MANAGEMENT	03
GENERAL PATHOLOGY	23
HONOURS ART & CULTURAL STUDIES & CRITICAL THEORY	14
HONOURS ART HISTORY & PHILOSOPHY	14
HONOURS CHEMISTRY	02
HONOURS CLASSICS	14
HONOURS CLASSICS & THEATRE & FILM STUDIES	14
HONOURS CULTURAL STUDIES & CRITICAL THEORY & MULTIMEDIA	14
HONOURS FRENCH & PSYCHOLOGY	14
HONOURS GEOGRAPHY & ENVIRONMENTAL SCIENCES	02
HONOURS GERONTOLOGY & RELIGIOUS STUDIES	15
HONOURS HEALTH STUDIES & PEACE STUDIES	15
HONOURS HISTORY & ECONOMICS	14
HONOURS HISTORY & MULTIMEDIA	14
LABOUR STUDIES & SOCIAL WORK	15
MECHANICAL ENGINEERING	03
MEDICAL ONCOLOGY	23
THEATRE & FILM STUDIES	14
CIVIL ENGINEERING & MANAGEMENT-WATER/ENVIRONMENTAL ENG STR	03
CLINICAL CHEMISTRY	23
CLINICAL INVESTIGATOR PROGRAMME-MEDICAL ONCOLOGY	23
ENGINEERING 1	03
ENGINEERING PHYSICS	03
ENGINEERING PHYSICS & SOCIETY	03
ENGLISH	14
HEALTH STUDIES & SOCIAL WORK	15
HEALTH, AGING & SOCIETY	15
HISTORY & SOCIAL WORK	14
HONOURS ARTS & SCIENCE & CULTURAL STUDIES & CRITICAL THEORY	07
HONOURS ARTS & SCIENCE & GEOGRAPHY	07
HONOURS BIOCHEMISTRY	02
HONOURS BUSINESS INFORMATICS CO-OP	03
HONOURS CHEMICAL BIOLOGY	02
HONOURS CLASSICS & POLITICAL SCIENCE	14
HONOURS COGNITIVE SCIENCE OF LANGUAGE & CLASSICS	14
HONOURS COMMUNICATION STUDIES & PSYCHOLOGY	15
HONOURS CULTURAL STUDIES & CRITICAL THEORY & PEACE STUDIES	14
HONOURS HISTORY & ANTHROPOLOGY	14
HONOURS MATHEMATICS & STATISTICS	02
HONOURS MULTIMEDIA & SOCIOLOGY	14
INFECTECTIOUS DISEASE/INTERNAL MEDICINE	23
MATERIALS ENGINEERING - NANOMATERIALS STREAM CO-OP	03
MATHEMATICS & STATISTICS 1	02
NURSING (POST RN)	04
SOFTWARE ENGINEERING	03
SOFTWARE ENGINEERING & SOCIETY CO-OP	03
THORACIC SURGERY	23
TRANSFUSION MEDICINE	23
AUTOMOTIVE & VEHICLE TECHNOLOGY	03
CLINICIAN INVESTIGATORS PROGRAM/CRITICAL CARE	23
FAMILY MEDICINE - HALTON	23
GASTROENTEROLOGY/PEDIATRICS	23
HONOURS ANTHROPOLOGY & THEATRE & FILM STUDIES	14
HONOURS ART & ECONOMICS	14
HONOURS ARTS & SCIENCE & BIOLOGY	07
HONOURS ARTS & SCIENCE & RELIGIOUS STUDIES	07
HONOURS ARTS & SCIENCE & SOCIOLOGY	07
HONOURS BUSINESS INFORMATICS	03
HONOURS GEOGRAPHY	15
HONOURS GERONTOLOGY & PHILOSOPHY	15
HONOURS HISTORY & LINGUISTICS	14
HONOURS LINGUISTICS & PSYCHOLOGY	14
HONOURS POLITICAL SCIENCE	15
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	02
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR (B.Sc.) - MENTAL HEALTH SPECIALIZATION	02
HONOURS RELIGIOUS STUDIES & THEATRE & FILM STUDIES	14
IRREGULAR	03
MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	02
ANAESTHESIOLOGY	23
ART HISTORY	14
CHEMICAL ENGINEERING & MANAGEMENT	03
CIVIL ENGINEERING & MANAGEMENT CO-OP	03
CIVIL ENGINEERING & SOCIETY	03
CIVIL ENGIN'G&MANAGEMENT-STRUCTURAL/GEOTECHNICAL ENG STR	03
CONTINUING	02
EMERGENCY MEDICINE-FAMILY	23
ENGINEERING PHYSICS NUCLEAR ENG & ENERGY SYSTEMS STR CO-OP	03
